episode_idx,start_frame_skel,end_frame_skel,num_frames_skel,start_frame_video,end_frame_video,start_sec,end_sec,duration_sec_feat,twist_p95,twist_max,twist_ratio_over_20,flex_p95,flex_max,flex_ratio_20_60,flex_ratio_over_60,start_class4,end_class4,kim_trunk_score
1,80,223,144,160,446,5.333333333,14.86666667,4.8,65.47638702,84.52365112,0.409722222,9.394324303,10.63470936,0.0,0.0,0,1,5.0
2,336,431,96,672,862,22.4,28.73333333,3.2,36.14751053,46.79452896,0.270833333,93.07383728,93.81790161,0.104166667,0.177083333,0,3,7.0
3,544,607,64,1088,1214,36.26666667,40.46666667,2.133333333,62.46670151,89.00793457,0.4375,24.078722,25.72161293,0.203125,0.0,0,2,9.0
4,720,783,64,1440,1566,48.0,52.2,2.133333333,49.55101395,74.6259613,0.171875,11.0592041,11.44354725,0.0,0.0,1,0,3.0
5,864,927,64,1728,1854,57.6,61.8,2.133333333,46.37395859,68.12921143,0.15625,11.76201344,12.16422653,0.0,0.0,1,1,5.0
6,960,1039,80,1920,2078,64.0,69.26666667,2.666666667,79.39220428,87.3611908,0.5,86.75537872,91.41335297,0.125,0.1625,1,3,10.0
7,1168,1231,64,2336,2462,77.86666667,82.06666667,2.133333333,75.15565491,84.49364471,0.359375,26.26293182,28.77703285,0.203125,0.0,1,2,13.0
8,1376,1455,80,2752,2910,91.73333333,97.0,2.666666667,49.10730362,74.47245026,0.1625,72.74330902,82.54042816,0.175,0.1,3,0,7.0
9,1536,1615,80,3072,3230,102.4,107.6666667,2.666666667,39.20340729,51.24741745,0.275,71.3529129,79.15830994,0.1875,0.1,3,1,10.0
10,1728,1807,80,3456,3614,115.2,120.4666667,2.666666667,49.06105042,89.33019257,0.5,79.44988251,82.81508636,0.2875,0.225,3,3,15.0
11,1856,1919,64,3712,3838,123.7333333,127.9333333,2.133333333,30.74098206,44.54532623,0.265625,73.95513916,79.62113953,0.390625,0.125,3,2,18.0
12,2176,2255,80,4352,4510,145.0666667,150.3333333,2.666666667,81.68325806,89.20578003,0.3375,26.56020355,27.62001228,0.15,0.0,2,0,9.0
13,2336,2399,64,4672,4798,155.7333333,159.9333333,2.133333333,53.59641647,73.2156601,0.3125,31.11706924,32.9772377,0.171875,0.0,2,1,13.0
14,2560,2623,64,5120,5246,170.6666667,174.8666667,2.133333333,44.09630966,86.20320892,0.375,87.11224365,90.39325714,0.28125,0.171875,2,3,18.0
15,2672,2735,64,5344,5470,178.1333333,182.3333333,2.133333333,48.46070862,63.36633301,0.1875,33.67681122,34.29165649,0.390625,0.0,2,2,20.0
